timestamp,fruit_id,scan_no,nm410,nm435,nm460,nm485,nm510,nm535,nm560,nm585,nm610,nm645,nm680,nm705,nm730,nm760,nm810,nm860,nm900,nm940,label,diameter_cm,rotasi_buah,jarak_cm,ratio_810_680,ratio_730_680,ratio_860_810,red_edge_slope,ndvi_like
"2026-08-28T17:58:47,452",BOSOK_009,69,28.200691,52.224735,72.591545,0.0,23.875576,21.586567,12.359997,13.560564,19.649796,8.834651,23.303373,12.094913,42.255367,44.81134,47.838131,45.190346,19.56798,24.307169,anomali,8.5,e,3,2.0528406111679147,1.8132717897654602,0.944650963757141,0.37903988,0.34487258733346604
"2026-08-28T17:59:00,173",BOSOK_009,70,17.418074,37.303383,69.70063298,0.0,23.152073,20.890226,11.844997,13.058321,19.649796,10.938139,23.303373,12.929045,39.12534,41.429352,49.432735,46.349072,19.56798,19.805841,anomali,9.0,f,3,2.1212686158056964,1.6789553688406529,0.9376188192664598,0.31643934,0.35923503643678095
"2026-08-28T17:59:15,973",BOSOK_009,71,9.953185,25.179783,56.564838,0.0,18.81106,16.712181,10.299997,10.547105,15.026314,8.413953,20.263803,10.009583,33.647793,35.510876,43.054317,40.555439,16.510483,15.304514,anomali,9.0,g,3,2.1246898103530665,1.6604867504452396,0.9419596548332994,0.2676798,0.35993662478661326
"2026-08-28T17:59:41,304",BOSOK_009,72,9.953185,25.179783,53.73006595,0.0,19.534561,18.104862,12.874997,14.56505,16.182184,9.255348,20.263803,11.677847,34.430302,36.356373,45.446224,42.87289,18.95648,18.00531,anomali,8.0,h,3,2.242728157824986,1.6991028292651535,0.9433760782026513,0.28332998,0.3832355321912237
"2026-08-28T18:01:03,217",BOSOK_010,73,8.294321,19.584276,54.67009344,40.214607,16.640553,12.534136,15.964996,19.085238,24.273277,13.883022,26.342943,15.014374,29.73526,31.28339,42.257015,41.714165,18.95648,16.204779,anomali,8.0,a,3,1.604110784390801,1.1287747429075243,0.9871533786394096,0.06784633999999996,0.2319836650652665
"2026-08-28T18:01:12,584",BOSOK_010,74,11.612049,15.853938,42.42363,0.0,13.746543,10.445113,13.904997,18.582994,19.649796,14.30372,18.237423,14.180243,29.73526,31.28339,40.662411,40.555439,18.95648,18.905577,anomali,9.0,b,3,2.229612632435716,1.6304520488163001,0.9973690204033842,0.22995674000000002,0.38073085558596725
"2026-08-28T18:01:29,404",BOSOK_010,75,8.294321,20.516861,51.851101,0.0,15.91705,12.534136,7.209998,10.547105,16.182184,12.200233,22.290184,10.843715,25.822725,27.901402,34.283993,34.761803,15.898984,15.304514,anomali,9.5,c,3,1.5380751284623186,1.1584791500693083,1.013936528940334,0.07065081999999996,0.21200143804099209
"2026-08-28T18:01:37,859",BOSOK_010,76,9.953185,27.977537,57.507584,0.0,17.364056,14.623158,9.784998,12.053835,17.338055,12.200233,22.290184,11.26078,28.170246,30.437893,37.473202,38.237984,16.510483,15.304514,anomali,9.5,d,3,1.681151900248154,1.2637954609098512,1.0204084987430486,0.11760123999999998,0.25405212916615383
"2026-08-28T18:01:55,165",BOSOK_010,77,9.953185,26.112368,51.85001101,0.0,18.087557,16.015841,11.329997,12.556078,18.493925,10.096744,14.184662,10.843715,28.952753,30.437893,35.878597,35.920532,15.898984,14.404248,anomali,9.0,e,3,2.5293920789990776,2.04112953757408,1.0011685236274641,0.29536182000000005,0.43333037241335554
"2026-08-28T18:02:06,332",BOSOK_010,78,12.441481,27.977537,57.507584,0.0,18.81106,17.408522,11.329997,14.56505,18.493925,18.931395,21.276993,11.26078,32.082779,32.974384,38.270504,37.079258,17.121983,18.00531,anomali,9.5,f,3,1.7986792594802943,1.5078617510182237,0.9688727462609987,0.21611572,0.28537737104594485
